For Account:,####1742,,,,,,,
,,,,,,,,
TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
6/15/22,Transfer,UNKNOWN, ,0,200,0,0,ACH DEPOSIT                   REFID:56023927906;
6/16/22,Bought,EQ,LEN,2,-128.45,64.225,0,LENNAR CORP                   CL A
6/16/22,Transfer,UNKNOWN, ,0,150,0,0,ACH DEPOSIT                   REFID:56112924906;
6/30/22,Fee,EQ,BABA,0,-0.02,0,0,***ALIBABA GROUP HOLDING LTD  SPONSORED ADR                 ADR CUSTODY FEE               APRIL 2022
7/5/22,Dividend,EQ,VOO,0,1.43,0,0,VANGUARD S&P 500 ETF          CASH DIV  ON       1 SHS      REC 06/30/22 PAY 07/05/22     NON-QUALIFIED DIVIDEND
7/15/22,Dividend,EQ,NTDOY,0,-1.48,0,0,***NINTENDO CO LTD-ADR NEW    AGENCY PROCESSING FEE
7/15/22,Dividend,EQ,NTDOY,0,-3.49,0,0,***NINTENDO CO Foreign Stk W/HCASH DIV  ON      27 SHS      REC 03/30/22 PAY 07/15/22     FRGN-W/H@SOURCE
7/15/22,Dividend,EQ,NTDOY,0,34.9,0,0,***NINTENDO CO LTD-ADR NEW    CASH DIV  ON      27 SHS      REC 03/30/22 PAY 07/15/22     FRGN-W/H@SOURCE
7/21/22,Dividend,EQ,LEN,0,7.88,0,0,LENNAR CORP                   CL A                          CASH DIV  ON      21 SHS      REC 07/07/22 PAY 07/21/22
8/11/22,Dividend,EQ,AAPL,0,1.38,0,0,APPLE INC                     CASH DIV  ON       6 SHS      REC 08/08/22 PAY 08/11/22
9/1/22,Bought,EQ,LEN,1,-76.55,76.55,0,LENNAR CORP                   CL A
9/8/22,Dividend,EQ,MSFT,0,0.62,0,0,MICROSOFT CORP                CASH DIV  ON       1 SHS      REC 08/18/22 PAY 09/08/22
9/28/22,Dividend,EQ,LOGI,0,-2.1,0,0,***LOGITECH IN Foreign Stk W/HCASH DIV  ON       6 SHS      REC 09/27/22 PAY 09/28/22     FRGN-W/H@SOURCE
9/28/22,Dividend,EQ,LOGI,0,6.01,0,0,***LOGITECH INTERNATIONAL SA  CASH DIV  ON       6 SHS      REC 09/27/22 PAY 09/28/22     FRGN-W/H@SOURCE
10/3/22,Dividend,EQ,VOO,0,1.47,0,0,VANGUARD S&P 500 ETF          CASH DIV  ON       1 SHS      REC 09/29/22 PAY 10/03/22     NON-QUALIFIED DIVIDEND
10/6/22,Dividend,EQ,NTDOY,108,0,0,0,***NINTENDO CO LTD-ADR NEW    STK SPLIT ON      27 SHS      REC 10/05/22 PAY 10/06/22
10/17/22,Fee,EQ,NTDOY,0,-1.08,0,0,***NINTENDO CO LTD-ADR NEW    ADR Fee charge at $ 0.01      R/D-09/30/22 P/D-10/03/22
10/27/22,Dividend,EQ,LEN,0,8.25,0,0,LENNAR CORP                   CL A                          CASH DIV  ON      22 SHS      REC 10/13/22 PAY 10/27/22
11/10/22,Dividend,EQ,AAPL,0,1.38,0,0,APPLE INC                     CASH DIV  ON       6 SHS      REC 11/07/22 PAY 11/10/22
12/8/22,Dividend,EQ,MSFT,0,0.68,0,0,MICROSOFT CORP                CASH DIV  ON       1 SHS      REC 11/17/22 PAY 12/08/22
,,,,,,,,
,,,,,,,,
,Total Withdrawals:,,0,,,,,
